MUNIC_RES;ANO;POPULACAO
110001;1996;33471
110040;1996;10723
110034;1996;19626
110002;1996;68503
110003;1996;8263
110060;1996;5114
110004;1996;72922
110070;1996;15434
110080;1996;10636
110090;1996;4239
110005;1996;21157
110006;1996;24955
110007;1996;11280
110008;1996;13950
110009;1996;24137
110100;1996;9770
110010;1996;36542
110110;1996;5292
110011;1996;48141
110012;1996;95356
110013;1996;28949
110120;1996;10673
110130;1996;12635
110140;1996;8706
110014;1996;15422
110033;1996;13644
110050;1996;11050
110015;1996;52261
110018;1996;48260
110020;1996;294227
110025;1996;28490
110026;1996;6196
110028;1996;43930
110029;1996;11234
110032;1996;18868
110150;1996;8751
110160;1996;8500
110170;1996;14181
110180;1996;9238
110030;1996;44580
120001;1996;6308
120005;1996;2918
120010;1996;13955
120013;1996;4101
120017;1996;2903
120020;1996;56705
120025;1996;9255
120030;1996;22142
120032;1996;3977
120033;1996;8699
120034;1996;5520
120035;1996;8381
120038;1996;12101
120080;1996;8326
120039;1996;5270
120040;1996;228857
120042;1996;8501
120043;1996;1633
120050;1996;23330
120045;1996;14280
120060;1996;23715
120070;1996;12716
130002;1996;13316
130006;1996;6338
130008;1996;6957
130010;1996;10211
130014;1996;11048
130020;1996;8108
130030;1996;25761
130040;1996;16091
130050;1996;19218
130060;1996;23633
130063;1996;9050
130068;1996;8742
130070;1996;24460
130080;1996;23673
130083;1996;6489
130090;1996;8181
130100;1996;20907
130110;1996;18872
130115;1996;17505
130120;1996;53327
130130;1996;15131
130140;1996;25776
130150;1996;18192
130160;1996;22257
130165;1996;10944
130170;1996;25496
130180;1996;11120
130185;1996;26612
130190;1996;64937
130195;1996;7862
130200;1996;6403
130210;1996;6264
130220;1996;4826
130230;1996;19325
130240;1996;27517
130250;1996;65577
130255;1996;17311
130260;1996;1157357
130270;1996;37704
130280;1996;14021
130290;1996;36628
130300;1996;14384
130310;1996;17951
130320;1996;14576
130330;1996;14275
130340;1996;71574
130350;1996;18292
130353;1996;10180
130356;1996;10069
130360;1996;12121
130370;1996;23037
130380;1996;26992
130390;1996;20618
130395;1996;5696
130400;1996;6770
130406;1996;32009
130410;1996;16677
130420;1996;62616
130423;1996;14077
130426;1996;10533
130430;1996;16988
130440;1996;16697
140005;1996;13771
140010;1996;165518
140015;1996;13221
140020;1996;9814
140030;1996;13672
140040;1996;10248
140050;1996;9055
140060;1996;11832
150010;1996;106738
150013;1996;5112
150020;1996;50799
150030;1996;24674
150034;1996;20994
150040;1996;51419
150050;1996;35963
150060;1996;78782
150070;1996;15611
150080;1996;341257
150090;1996;30248
150095;1996;15453
150100;1996;13641
150110;1996;10563
150120;1996;20335
150130;1996;54259
150140;1996;1144312
150150;1996;77369
150157;1996;11158
150160;1996;10124
150170;1996;102641
150172;1996;13990
150175;1996;6529
150178;1996;20223
150180;1996;75166
150190;1996;18019
150200;1996;17193
150210;1996;89400
150220;1996;53662
150230;1996;41134
150240;1996;117380
150250;1996;15345
150260;1996;8940
150270;1996;58765
150275;1996;18469
150276;1996;3491
150277;1996;23875
150280;1996;17627
150290;1996;23012
150293;1996;35981
150295;1996;18393
150300;1996;6322
150307;1996;23055
150309;1996;20882
150310;1996;20826
150320;1996;30651
150330;1996;46942
150340;1996;7311
150345;1996;13930
150350;1996;29371
150360;1996;97630
150370;1996;37771
150375;1996;18268
150380;1996;39526
150390;1996;25922
150400;1996;18006
150405;1996;19895
150410;1996;7962
150420;1996;150095
150430;1996;25329
150440;1996;22301
150445;1996;30940
150450;1996;15280
150460;1996;18763
150470;1996;45321
150480;1996;49602
150490;1996;23462
150495;1996;15828
150500;1996;13707
150503;1996;15568
150506;1996;30059
150510;1996;44326
150520;1996;21579
150530;1996;41999
150540;1996;13885
150543;1996;20199
150548;1996;26195
150549;1996;6085
150550;1996;65931
150553;1996;74702
150555;1996;5628
150560;1996;7044
150570;1996;17405
150580;1996;34103
150590;1996;24122
150600;1996;21484
150610;1996;18885
150613;1996;58029
150616;1996;19775
150618;1996;35221
150619;1996;24122
150620;1996;28396
150630;1996;13615
150635;1996;11549
150640;1996;4875
150650;1996;39333
150655;1996;18105
150658;1996;10364
150660;1996;19939
150670;1996;20844
150680;1996;263468
150690;1996;4463
150700;1996;21468
150710;1996;19055
150715;1996;17993
150720;1996;23916
150730;1996;40983
150740;1996;10194
150745;1996;36071
150747;1996;16822
150750;1996;8116
150760;1996;35887
150770;1996;15804
150780;1996;22884
150790;1996;19195
150795;1996;29693
150796;1996;6819
150797;1996;13043
150800;1996;45066
150805;1996;7255
150808;1996;34560
150810;1996;58679
150812;1996;9699
150815;1996;37395
150820;1996;37013
150830;1996;56945
150835;1996;12794
150840;1996;39259
160010;1996;6441
160020;1996;5678
160021;1996;1998
160023;1996;2604
160025;1996;1945
160027;1996;29904
160030;1996;220962
160040;1996;11353
160050;1996;9820
160015;1996;3018
160053;1996;7191
160055;1996;1690
160060;1996;69501
160005;1996;2751
160070;1996;4603
170025;1996;1957
170035;1996;7201
170040;1996;7747
170070;1996;10219
170100;1996;9694
170105;1996;2755
170110;1996;3646
170130;1996;3486
170190;1996;4712
170200;1996;9801
170210;1996;105019
170215;1996;3069
170220;1996;22558
170230;1996;8693
170240;1996;11551
170255;1996;13924
170270;1996;4382
170290;1996;9698
170300;1996;8775
170310;1996;5477
170320;1996;4319
170330;1996;2279
170360;1996;1761
170370;1996;5932
170380;1996;7599
170382;1996;2039
170384;1996;5102
170386;1996;2473
170388;1996;1610
170389;1996;2727
170390;1996;3625
170410;1996;2189
170550;1996;24474
171670;1996;9141
170555;1996;4915
170560;1996;4393
170600;1996;4358
170610;1996;8670
170650;1996;3905
170700;1996;14882
170710;1996;6476
170720;1996;7554
