"id_municipio";"cidade";"estado";"regiao";"pais"
"120070";"Xapuri";"Acre";"NORTE";"Brasil"
"120035";"Marechal Thaumaturgo";"Acre";"NORTE";"Brasil"
"120038";"Plácido de Castro";"Acre";"NORTE";"Brasil"
"120001";"Acrelândia";"Acre";"NORTE";"Brasil"
"120017";"Capixaba";"Acre";"NORTE";"Brasil"
"120042";"Rodrigues Alves";"Acre";"NORTE";"Brasil"
"120043";"Santa Rosa do Purus";"Acre";"NORTE";"Brasil"
"120025";"Epitaciolândia";"Acre";"NORTE";"Brasil"
"120045";"Senador Guiomard";"Acre";"NORTE";"Brasil"
"120039";"Porto Walter";"Acre";"NORTE";"Brasil"
"120020";"Cruzeiro do Sul";"Acre";"NORTE";"Brasil"
"120033";"Mâncio Lima";"Acre";"NORTE";"Brasil"
"120010";"Brasiléia";"Acre";"NORTE";"Brasil"
"120050";"Sena Madureira";"Acre";"NORTE";"Brasil"
"120060";"Tarauacá";"Acre";"NORTE";"Brasil"
"120080";"Porto Acre";"Acre";"NORTE";"Brasil"
"120032";"Jordão";"Acre";"NORTE";"Brasil"
"120030";"Feijó";"Acre";"NORTE";"Brasil"
"120034";"Manoel Urbano";"Acre";"NORTE";"Brasil"
"120013";"Bujari";"Acre";"NORTE";"Brasil"
"120040";"Rio Branco";"Acre";"NORTE";"Brasil"
"120005";"Assis Brasil";"Acre";"NORTE";"Brasil"
"270510";"Matriz de Camaragibe";"Alagoas";"NORDESTE";"Brasil"
"270030";"Arapiraca";"Alagoas";"NORDESTE";"Brasil"
"270915";"Teotônio Vilela";"Alagoas";"NORDESTE";"Brasil"
"270850";"São Luís do Quitunde";"Alagoas";"NORDESTE";"Brasil"
"270530";"Minador do Negrão";"Alagoas";"NORDESTE";"Brasil"
"270920";"Traipu";"Alagoas";"NORDESTE";"Brasil"
"270570";"Olho d'Água das Flores";"Alagoas";"NORDESTE";"Brasil"
"270480";"Maribondo";"Alagoas";"NORDESTE";"Brasil"
"270450";"Maragogi";"Alagoas";"NORDESTE";"Brasil"
"270760";"Quebrangulo";"Alagoas";"NORDESTE";"Brasil"
"270720";"Poço das Trincheiras";"Alagoas";"NORDESTE";"Brasil"
"270130";"Cajueiro";"Alagoas";"NORDESTE";"Brasil"
"270270";"Feliz Deserto";"Alagoas";"NORDESTE";"Brasil"
"270680";"Piaçabuçu";"Alagoas";"NORDESTE";"Brasil"
"270170";"Capela";"Alagoas";"NORDESTE";"Brasil"
"270230";"Coruripe";"Alagoas";"NORDESTE";"Brasil"
"270930";"União dos Palmares";"Alagoas";"NORDESTE";"Brasil"
"270810";"Santana do Mundaú";"Alagoas";"NORDESTE";"Brasil"
"270490";"Mar Vermelho";"Alagoas";"NORDESTE";"Brasil"
